id,user_id,account_number,account_type,account_type_label,currency,balance,available_balance,daily_limit,monthly_limit,status,is_primary,opened_date,last_activity,created_at,updated_at
6,6,NW127549767,WALLET,,MRU,31000,31000,500000,15000000,FROZEN,true,2024-02-07,2024-05-05T06:39:38.325Z,2024-02-07T08:15:17.797Z,2024-05-05T06:39:38.325Z
16,16,NW068077445,WALLET,,MRU,60000,60000,500000,15000000,ACTIVE,true,2022-01-05,2024-11-11T04:45:54.579Z,2022-01-05T18:12:47.604Z,2024-11-11T04:45:54.579Z
17,16,NS355636239,SAVINGS,,MRU,211075,266000,500000,15000000,ACTIVE,false,2022-01-05,2024-07-12T05:48:42.187Z,2022-01-05T18:12:47.604Z,2024-07-12T05:48:42.187Z
29,28,NS141694545,SAVINGS,,MRU,24000,24000,500000,15000000,ACTIVE,true,2023-11-20,2024-07-26T04:32:25.579Z,2023-11-20T08:58:48.784Z,2024-07-26T04:32:25.579Z
34,33,NW131669789,WALLET,,MRU,378,1300,500000,15000000,ACTIVE,true,2023-06-14,2023-11-30T05:33:37.141Z,2023-06-14T22:04:52.281Z,2023-11-30T05:33:37.141Z
63,62,NW353825032,WALLET,,MRU,32000,32000,500000,15000000,ACTIVE,true,2022-11-02,2024-05-21T14:25:30.976Z,2022-11-02T02:18:13.252Z,2024-05-21T14:25:30.976Z
69,68,NS457982897,SAVINGS,,MRU,9200,9200,500000,15000000,ACTIVE,true,2022-11-18,2024-11-10T22:56:03.577Z,2022-11-18T06:50:52.014Z,2024-11-10T22:56:03.577Z
79,78,NW268059611,WALLET,,MRU,12900,18000,500000,15000000,ACTIVE,true,2023-11-04,2024-04-08T13:22:50.208Z,2023-11-04T21:30:44.411Z,2024-04-08T13:22:50.208Z
80,79,NW411207080,WALLET,,MRU,835,238000,500000,15000000,ACTIVE,true,2023-08-01,2024-08-19T17:06:36.639Z,2023-08-01T17:08:28.861Z,2024-08-19T17:06:36.639Z
81,79,NS998348594,SAVINGS,,MRU,468000,468000,500000,15000000,CLOSED,false,2023-08-01,2024-04-23T05:50:29.381Z,2023-08-01T17:08:28.861Z,2024-04-23T05:50:29.381Z
