id,code,mcc,name,category_code,category_label,owner_first_name,owner_last_name,owner_full_name,owner_gender,owner_ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,commission_rate,avg_transaction_min,avg_transaction_max,status,registration_date,created_at
72,MRC096681,5912,undefined Capital Nouakchott-Sud,SAN,,Mariama,Bah,Mariama Bah,F,SONINKE,+22246811539,undefinedcapita@nafadpay.mr,3,Nouakchott-Sud,8,,115 Avenue du Commerce,NaN,NaN,0.0255,500,50000,ACTIVE,2021-06-06,2021-06-06T15:25:48.378Z
41,MRC787227,5651,undefined du Progrès Nouakchott-Nord,HAB,,Ahmed Salem,Barry,Ahmed Salem Barry,M,PEUL,+22234416802,undefinedduprog@nafadpay.mr,1,Nouakchott-Nord,3,,147 Avenue de la Paix,NaN,NaN,0.0283,2000,30000,ACTIVE,2022-09-03,2022-09-03T20:03:09.676Z
279,MRC188664,7011,undefined El Khair Nouakchott-Ouest,HTL,,Zahra,Mint Habiboullah,Zahra Mint Habiboullah,F,MAURE,+22248741318,undefinedelkhai@nafadpay.mr,2,Nouakchott-Ouest,5,,16 Avenue Principale,NaN,NaN,0.0226,20000,200000,ACTIVE,2021-12-17,2021-12-17T00:10:06.459Z
481,MRC243462,5541,undefined du Marché Dakhlet Nouadhibou,CRB,,Zahra,Mint Cheikh,Zahra Mint Cheikh,F,MAURE,+22233741328,undefineddumarc@nafadpay.mr,4,Dakhlet Nouadhibou,10,,34 Avenue de la Paix,NaN,NaN,0.0227,1000,20000,ACTIVE,2023-01-13,2023-01-13T07:21:14.169Z
367,MRC140319,5651,undefined Al Madina Nouakchott-Ouest,HAB,,Messoud,Ly,Messoud Ly,M,WOLOF,+22244741322,undefinedalmadi@nafadpay.mr,2,Nouakchott-Ouest,5,,144 Avenue du Commerce,NaN,NaN,0.0083,2000,30000,ACTIVE,2021-04-15,2021-04-15T17:41:28.792Z
259,MRC533516,8211,undefined Ksar Trarza,EDU,,Isselmou,Ould El Mamy,Isselmou Ould El Mamy,M,MAURE,+22237392096,undefinedksartr@nafadpay.mr,5,Trarza,11,,69 Avenue de la Paix,NaN,NaN,0.0156,10000,100000,ACTIVE,2023-03-14,2023-03-14T15:22:06.466Z
349,MRC068416,5411,undefined El Baraka Nouakchott-Ouest,ALM,,Adama,Kanouté,Adama Kanouté,M,PEUL,+22235741321,undefinedelbara@nafadpay.mr,2,Nouakchott-Ouest,6,,148 Avenue Gamal,NaN,NaN,0.0151,200,5000,ACTIVE,2024-04-27,2024-04-27T20:25:37.145Z
93,MRC230083,5411,undefined Teyarett Guidimaka,ALM,,Yaya,Tall,Yaya Tall,M,PEUL,+22224106665,undefinedteyare@nafadpay.mr,8,Guidimaka,27,,33 Avenue Principale,NaN,NaN,0.0151,200,5000,ACTIVE,2022-08-14,2022-08-14T01:06:44.797Z
212,MRC868732,5411,undefined Al Amane Dakhlet Nouadhibou,ALM,,Oumou,Sy,Oumou Sy,F,PEUL,+22249741317,undefinedalaman@nafadpay.mr,4,Dakhlet Nouadhibou,10,,170 Avenue du Commerce,NaN,NaN,0.0226,200,5000,ACTIVE,2024-10-03,2024-10-03T16:56:41.336Z
394,MRC795815,5999,undefined Center Dakhlet Nouadhibou,AUT,,Aicha,Mint Saad,Aicha Mint Saad,F,MAURE,+22234209373,undefinedcenter@nafadpay.mr,4,Dakhlet Nouadhibou,10,,62 Avenue du Commerce,NaN,NaN,0.0229,500,50000,ACTIVE,2021-03-03,2021-03-03T06:53:06.569Z
70,MRC412025,5812,undefined El Wafa Dakhlet Nouadhibou,RST,,Abeih,Diarra,Abeih Diarra,M,PEUL,+22237694814,undefinedelwafa@nafadpay.mr,4,Dakhlet Nouadhibou,10,,181 Avenue Gamal,NaN,NaN,0.0117,300,5000,ACTIVE,2024-10-12,2024-10-12T22:13:16.042Z
462,MRC560172,5411,undefined Plus Dakhlet Nouadhibou,ALM,,Ghali,Sow,Ghali Sow,M,SONINKE,+22233412944,undefinedplusda@nafadpay.mr,4,Dakhlet Nouadhibou,10,,48 Avenue Gamal,NaN,NaN,0.0069,200,5000,INACTIVE,2022-05-03,2022-05-03T01:29:15.277Z
382,MRC644778,4812,undefined Central Nouakchott-Ouest,TEL,,Binta,Koita,Binta Koita,F,WOLOF,+22249741323,undefinedcentra@nafadpay.mr,2,Nouakchott-Ouest,5,,57 Avenue de la Paix,NaN,NaN,0.0164,500,10000,ACTIVE,2023-02-27,2023-02-27T08:53:28.190Z
209,MRC407433,8211,undefined Capital Nouakchott-Sud,EDU,,Boubacar,Fall,Boubacar Fall,M,PEUL,+22223741317,undefinedcapita@nafadpay.mr,3,Nouakchott-Sud,8,,94 Avenue de la Paix,NaN,NaN,0.0096,10000,100000,INACTIVE,2024-05-13,2024-05-13T10:43:44.487Z
123,MRC178995,5411,undefined de la Paix Inchiri,ALM,,Siaka,Ndour,Siaka Ndour,M,WOLOF,+22225507422,undefineddelapa@nafadpay.mr,14,Inchiri,52,,175 Avenue Gamal,NaN,NaN,0.0053,200,5000,ACTIVE,2023-05-21,2023-05-21T11:11:39.603Z
134,MRC284489,5812,undefined de la Paix Nouakchott-Sud,RST,,Vadel,Ould Cheikh,Vadel Ould Cheikh,M,MAURE,+22223884945,undefineddelapa@nafadpay.mr,3,Nouakchott-Sud,7,,95 Avenue du Commerce,NaN,NaN,0.0218,300,5000,ACTIVE,2024-05-03,2024-05-03T15:31:57.190Z
