id,reference,idempotency_key,transaction_type,transaction_type_label,amount,fee,total_amount,currency,source_account_id,source_account_number,source_user_id,source_user_name,destination_account_id,destination_account_number,destination_user_id,destination_user_name,merchant_id,merchant_code,merchant_name,agency_id,agency_code,agency_name,agent_id,agent_name,status,failure_reason,balance_before,balance_after,node_id,processing_node,sequence_number,channel,device_type,ip_address,description,transaction_date,transaction_time,created_at,completed_at
41046,TX20241212196762,26dc6727-e75f-4b36-b047-e0bc59003674,TRF,,1300,25,1325,MRU,1430,NW065889477,1295,Noura Mint Mahmoud,9643,NW918159366,8754,Tekber Mint Sidi,,,,,,,,,FAILED,INSUFFICIENT_BALANCE,1275,1275,NDB-NODE-1,NKC-NODE-2,10,MOBILE_APP,ANDROID,10.204.55.70,Transfert de 1 300 MRU vers Tekber Mint Sidi,2024-12-12,18:04:51,2024-12-12T17:04:51.918Z,
6138,TX20240601272037,33548389-51c9-4d19-85e6-dda8dd70621d,TRF,,4900,25,4925,MRU,4395,NW108852624,3999,Coumba Diagana,2440,NW747740745,2238,Hamadi Ould Nagi,,,,,,,,,SUCCESS,,282000,277075,NDB-NODE-2,NDB-NODE-2,20,USSD,ANDROID,10.95.14.104,Transfert de 4 900 MRU vers Hamadi Ould Nagi,2024-06-01,08:55:23,2024-06-01T06:55:23.919Z,2024-06-01T06:55:26.874Z
78473,TX20241108547800,33e2e0ce-866a-40dd-ad7e-0dcc579b000a,TRF,,3800,25,3825,MRU,532,NM743834734,490,Mohamed Vall Diop,280,NS152303695,263,Youssouf Ould Nenni,,,,,,,,,SUCCESS,,21350,17525,NDB-NODE-2,NDB-NODE-2,30,MOBILE_APP,USSD,10.13.211.129,Transfert de 3 800 MRU vers Youssouf Ould Nenni,2024-11-08,08:43:39,2024-11-08T07:43:39.644Z,2024-11-08T07:43:41.677Z
15968,TX20240308467775,e1a8dc47-c743-49b7-915c-b20fc6bd4963,WIT,,500,50,550,MRU,5177,NS780456543,4705,Hacen Ould Sidi,,,,,,,,70,TRZ-001,Agence Trarza 1,280,Brahim Ould Nenni,SUCCESS,,1550,1000,NDB-NODE-2,NKC-NODE-2,40,AGENCY,ANDROID,10.245.119.68,Retrait de 500 MRU,2024-03-08,08:21:26,2024-03-08T07:21:26.855Z,2024-03-08T07:21:28.898Z
22327,TX20240306952908,fcf9259d-c1b8-4f04-a99e-0dad9f45e5b0,TRF,,2300,25,2325,MRU,7432,NW805945396,6762,Moulaye Ould Mokhtar,1868,NS245801448,1705,Moulaye Diakité,,,,,,,,,SUCCESS,,18750,16425,NDB-NODE-1,NDB-NODE-2,50,MOBILE_APP,ANDROID,10.175.233.22,Transfert de 2 300 MRU vers Moulaye Diakité,2024-03-06,09:49:06,2024-03-06T08:49:06.233Z,2024-03-06T08:49:09.909Z
64395,TX20240522163191,9a4a355d-72f2-40b3-b0f6-b819dea42275,WIT,,3100,50,3150,MRU,9948,NS572673201,9028,Thierno Sow,,,,,,,,38,NKC-O-019,Agence Nouakchott-Ouest 19,160,Boubacar Ould Jiddou,FAILED,ACC_LOCKED,50800,50800,NKC-NODE-3,NDB-NODE-1,60,USSD,ANDROID,10.210.155.45,Retrait de 3 100 MRU,2024-05-22,17:17:24,2024-05-22T15:17:24.734Z,
34838,TX20240423727101,f1e377b0-a2e2-4da7-b10f-86844ccc0930,TRF,,10000,50,10050,MRU,4488,NW745131522,4085,Naha Mint Wedadi,2802,NS530611515,2567,Soumaïla Soumaré,,,,,,,,,SUCCESS,,127900,117850,NDB-NODE-2,NKC-NODE-1,70,API,IOS,10.193.198.33,Transfert de 10 000 MRU vers Soumaïla Soumaré,2024-04-23,20:59:53,2024-04-23T18:59:53.041Z,2024-04-23T18:59:54.622Z
8727,TX20241208593553,510ab88f-055a-4ed3-9a0e-d8c2ccc0b9dd,BIL,,18000,100,18100,MRU,478,NW236584305,436,Mor Dieng,,,,,,,,,,,,,FAILED,INSUFFICIENT_BALANCE,12400,12400,NKC-NODE-1,NDB-NODE-1,80,MOBILE_APP,ANDROID,10.74.183.211,Paiement facture de 18 000 MRU,2024-12-08,17:04:01,2024-12-08T16:04:01.807Z,
68627,TX20240210630057,d073bb7b-0f28-4243-8eec-e6d75df96318,AIR,,500,0,500,MRU,7986,NW853941947,7266,Mahmoud Ould Lemrabott,,,,,,,,,,,,,FAILED,INSUFFICIENT_BALANCE,200,200,NDB-NODE-1,NDB-NODE-2,90,USSD,ANDROID,10.218.33.184,Recharge crédit de 500 MRU,2024-02-10,16:14:57,2024-02-10T15:14:57.727Z,
33903,TX20240326301587,d64bf3b7-c629-40da-9000-91cdcddd1f91,WIT,,20000,200,20200,MRU,161,NW165063738,147,Tamba Sall,,,,,,,,75,BRK-001,Agence Brakna 1,296,Malick Koné,FAILED,INSUF_BAL,196900,196900,NDB-NODE-1,NDB-NODE-2,100,MOBILE_APP,ANDROID,10.152.100.71,Retrait de 20 000 MRU,2024-03-26,23:56:01,2024-03-26T22:56:01.607Z,
