id,nni,first_name,last_name,full_name,gender,birth_date,ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,profile_type,kyc_level,status,device_type,registration_date,last_login,created_at,updated_at
817,8802937782,Mohamed Lemine,Ould Hadrami,Mohamed Lemine Ould Hadrami,M,1988-03-01,MAURE,+22224172007,,2,Nouakchott-Ouest,4,,STANDARD,,ACTIVE,WEB,2024-11-09,2024-12-19T14:37:14.780Z,2024-11-09T09:32:12.087Z,2024-12-19T14:37:14.780Z
1721,8515199525,Demba,Soumaré,Demba Soumaré,M,1985-08-07,SONINKE,+22234268059,,15,Tiris Zemmour,54,,STANDARD,,ACTIVE,ANDROID,2023-03-27,2024-02-17T13:59:55.117Z,2023-03-27T06:31:19.432Z,2024-02-17T13:59:55.117Z
1685,8404540106,Khadijetou,Mint Vall,Khadijetou Mint Vall,F,1984-05-20,MAURE,+22236957006,khadijetou.mintvall623@gmail.com,4,Dakhlet Nouadhibou,10,,STANDARD,,ACTIVE,USSD,2023-03-02,2024-07-07T16:23:26.114Z,2023-03-02T05:38:27.231Z,2024-07-07T16:23:26.114Z
641,0301643XX7,Mohamed Vall,Ould Ahmed,Mohamed Vall Ould Ahmed,M,2003-03-21,MAURE,+22224946361,,1,Nouakchott-Nord,3,,ACTIVE,,ACTIVE,WEB,2022-06-04,2024-12-22T04:41:52.869Z,2022-06-04T02:46:58.383Z,2024-12-22T04:41:52.869Z
6641,7105714XX1,Moctar,Diagana,Moctar Diagana,M,1971-04-02,PEUL,+22223531847,,5,Trarza,13,,VIP,,ACTIVE,ANDROID,2023-11-28,2023-12-01T04:06:22.449Z,2023-11-28T03:15:16.452Z,2023-12-01T04:06:22.449Z
9244,6711718XX1,Lala,Guèye,Lala Guèye,F,1967-11-02,PEUL,+22244308367,lala.guèye748@outlook.com,11,Hodh El Gharbi,41,,STANDARD,,INACTIVE,ANDROID,2022-08-21,2023-01-06T05:47:37.271Z,2022-08-21T09:24:12.738Z,2023-01-06T05:47:37.271Z
8617,9602130XX2,Cheikh Sidiya,Ould Salem,Cheikh Sidiya Ould Salem,M,1996-09-17,MAURE,+22247250682,cheikhsidiya.ouldsalem484@yahoo.fr,2,Nouakchott-Ouest,5,,STANDARD,,ACTIVE,USSD,2024-04-05,2024-09-06T04:29:05.848Z,2024-04-05T15:53:32.864Z,2024-09-06T04:29:05.848Z
4444,9101040XX1,Kiné,Guèye,Kiné Guèye,F,1991-11-05,SONINKE,+22247892579,,1,Nouakchott-Nord,3,,OCCASIONAL,,ACTIVE,IOS,2024-09-24,2024-09-26T03:23:03.111Z,2024-09-24T10:59:15.497Z,2024-09-26T03:23:03.111Z
6403,8615597135,Mohamed Yahya,Ould Eleya,Mohamed Yahya Ould Eleya,M,1986-01-01,MAURE,+22232590139,mohamedyahya.ouldeleya165@gmail.com,15,Tiris Zemmour,55,,DORMANT,,ACTIVE,ANDROID,2024-04-10,2024-09-05T14:30:00.761Z,2024-04-10T11:20:01.505Z,2024-09-05T14:30:00.761Z
7821,6002223252,Fodé,Baldé,Fodé Baldé,M,1960-08-25,WOLOF,+22235557436,,2,Nouakchott-Ouest,6,,ACTIVE,,ACTIVE,USSD,2024-07-21,2024-07-30T15:09:41.611Z,2024-07-21T14:45:55.813Z,2024-07-30T15:09:41.611Z
